mesto2;Ljubljana;Piran/Pirano;Bled;Kranjska Gora;Brezice;Maribor;Moravske Toplice;Bohinj;Podcetrtek;Izola/Isola;Nova Gorica;Bovec;Lasko;Ankaran/Ancarano;Zrece;Ptuj;Koper/Capodistria;Radovljica;Sezana;Postojna;Kranj;Kobarid;Radenci;Rogaska Slatina;Lendava/Lendva;Novo mesto;Verzej;Sostanj;Cerklje na Gorenjskem;Tolmin;Dobrna;Celje;Dolenjske Toplice;Kamnik;Brda;Smarjeske Toplice;Hrpelje - Kozina;Ljutomer;Cerkno;Hoce - Slivnica;Slovenska Bistrica;Domzale;Murska Sobota;Grosuplje;Divaca;Mislinja;Crnomelj;Ajdovscina;Naklo;Slovenj Gradec;Metlika;Rence - Vogrsko;Kocevje;Medvode;Velenje;Solcava;Ribnica na Pohorju;Ruse;Idrija;Logatec;Dravograd;Trebnje;Mozirje;Luce;Gorje;Vrhnika;Skofja Loka;Preddvor;Semic;Zalec;Kostel;Jezersko;Zirovnica;Selnica ob Dravi;Hajdina;Cerknica;Jesenice;Krsko;Ilirska Bistrica;Ljubno;Sencur;Vipava;Trzic;Komen;Ormoz;Prevalje;Gorenja vas - Poljane;Slovenske Konjice;Zagorje ob Savi;Prebold;Pivka;Sevnica;Brezovica;Zelezniki;Sentjernej;Kanal;Sentjur;Skocjan;Gornja Radgona;Kostanjevica na Krki;Crna na Koroskem;Ribnica;Ivancna Gorica;Loska dolina;Ig;Benedikt;Pesnica;Trbovlje;Puconci;Zuzemberk;Miren - Kostanjevica;Kungota;Bloke;Vojnik;Videm;Vransko;Lovrenc na Pohorju;Muta;Gornji Grad;Rogatec;Hrastnik;Smarje pri Jelsah;Bistrica ob Sotli;Gornji Petrovci;Mezica;Nazarje;Ravne na Koroskem;Vitanje;Vuzenica;Apace;Beltinci;Braslovce;Cankova;Cerkvenjak;Cirkulane;Destrnik;Dobje;Dobrova - Polhov Gradec;Dol pri Ljubljani;Gorisnica;Grad;Horjul;Jursinci;Komenda;Kuzma;Lenart;Litija;Loski Potok;Lukovica;Majsperk;Makole;Menges;Miklavz na Dravskem polju;Mirna;Mirna Pec;Mokronog - Trebelno;Moravce;Odranci;Oplotnica;Osilnica;Podlehnik;Podvelka;Poljcane;Polzela;Race - Fram;Radece;Radlje ob Dravi;Razkrizje;Recica ob Savinji;Rogasovci;Sodrazica;Straza;Sveta Ana;Sveti Andraz v Slov. goricah;Salovci;Sempeter - Vrtojba;Sentilj;Sentrupert;Skofljica;Smartno pri Litiji;Store;Tabor;Trzin;Turnisce;Velika Polana;Vodice;Zavrc;Ziri;Villach;Klagenfurt;Bad Kalinkirchheim;Grado;Aquilea;Udine;Trieste;Palmanova;Novigrad;Motovun;Buje;Groznjan;Umag;Buzet;Opatija;Reka;Karlovac;Zagreb;Varazdin;Cakovec
Lat;46,0569465;45,528319;46,3683266;46,4845293;45,9088102;46,5546503;46,6856932;46,3005652;46,1559752;45,5374048;45,9549755;46,3376387;46,1542793;45,5791436;46,3696591;46,4199535;45,548059;46,3437361;45,7093519;45,7749704;46,2428344;46,2456971;46,6439196;46,2331941;46,5644783;45,8010824;46,5832778;46,3782836;46,2531292;46,1857188;46,3356141;46,2397495;45,7558584;46,2221964;45,9975652;45,8680377;45,6091192;46,5193583;46,128954;46,477858;46,3919813;46,1419417;46,6581381;45,9380023;45,6829132;46,4439734;45,5714837;45,8869025;46,2863018;46,5075851;45,6473994;45,9050513;45,6409009;46,141908;46,3622743;46,4200935;46,5356145;46,5399962;46,0029454;45,9170819;46,589219;45,9080163;46,3392772;46,3544925;46,3802458;45,966583;46,1671294;46,3017155;45,6520534;46,251984;45,4928255;46,3942794;46,4044239;46,5790573;46,4185014;45,7955099;46,4367047;45,9589978;45,570099;46,3462488;46,2433699;45,8455744;46,3621517;45,8175235;46,4086282;46,5468788;46,1116582;46,3369191;46,1345186;46,2365972;45,6789296;46,0129508;45,9559351;46,22544;45,843413;46,0853803;46,218184;45,6658039;46,6767099;45,8449724;46,4703983;45,7400303;45,9186489;45,6477908;45,9588213;46,6155841;46,6088755;46,1503563;46,7046395;45,830669;45,8436029;46,6418793;45,7728141;46,2920581;46,363833;46,2444682;46,5402775;46,6097366;46,2961712;46,2258891;46,1417288;46,2013945;46,0677976;46,8047535;46,5214145;46,2821741;46,5448323;46,3815074;46,5980836;46,6975886;46,6079153;46,2836192;46,718237;46,5554248;46,3298322;46,4922368;46,1370037;46,0656056;46,0884386;46,4120439;46,7946714;46,0225378;46,4898651;46,2052815;46,8351038;46,5515015;46,0592305;45,6909637;46,1823986;46,3394655;46,3168697;46,1659122;46,5082628;45,9513076;45,8594478;45,9088529;46,1357218;46,5847279;46,387163;45,5418467;46,3358974;46,5903517;46,3141609;46,280897;46,4342985;46,0655001;46,614358;46,5226339;46,323379;46,8083883;45,762125;45,7768428;46,6471061;46,5189747;46,8533568;45,9290095;46,6862839;45,9769612;45,9859651;46,0457437;46,2205619;46,2346755;46,1298241;46,625456;46,5731715;46,1926971;46,3856393;46,0513094;46,60856;46,6364598;46,8168323;45,6996858;45,7681691;46,0710668;45,6495264;45,909424;45,3156571;45,3359506;45,4082114;45,3796024;45,4372062;45,4075606;45,3376197;45,3270631;45,4928973;45,8150108;46,305746;46,3897383
Long;14,5057515;13,5682895;14,1145798;13,7857145;15,5964652;15,6458812;16,2224582;13,9427195;15,5975783;13,6600802;13,6493044;13,551683;15,2359978;13,7362855;15,3918526;15,8696884;13,7301877;14,1740042;13,8738185;14,2133245;14,3555417;13,5786949;16,0402676;15,6378802;16,453063;15,1710089;16,1640173;15,0461378;14,4868829;13,7319838;15,2259732;15,2677063;15,0592333;14,6072968;13,5270474;15,2347422;13,9379148;16,197814;13,9891931;15,6476005;15,5727868;14,5944171;16,1610293;14,6482663;13,9697218;15,1985947;15,1930773;13,909914;14,2896233;15,0768162;15,3176752;13,690592;14,8633128;14,4032596;15,1106582;14,6917325;15,2674538;15,5073987;14,0278459;14,2285582;15,0246021;15,0131905;14,9599807;14,7471504;14,0685339;14,2973873;14,3058337;14,4216753;15,1820701;15,1650282;14,8708235;14,4985559;14,1375549;15,4871153;15,8244722;14,3621843;14,0526057;15,4921312;14,2418616;14,8231581;14,4192223;13,9625431;14,3083372;13,7482711;16,1508154;14,9197479;14,1149347;15,4214708;14,9945975;15,091648;14,2542689;15,2979868;14,4349952;14,1692478;15,3378312;13,634308;15,38742;13,9899793;15,9910846;15,4217164;14,8498787;14,7265782;14,7956554;14,4973147;14,5282718;15,8957281;15,6757051;15,0453138;16,1572755;14,9298228;13,6276647;15,6036288;14,5063459;15,302058;15,8781212;14,9511982;15,3884817;15,1629994;14,8062347;15,7000313;15,0844894;15,5873836;15,6334948;16,2180722;14,8523952;14,9225629;14,9660445;15,2950333;15,1657237;15,90981;16,2365127;15,0418321;16,0197222;15,9365397;15,9980666;15,8777956;15,394129;14,3123503;14,6424792;16,0131526;16,0599196;14,2986269;15,980923;14,5391653;16,08071;15,8251259;14,8266015;14,5985971;14,7899377;15,7365954;15,6664126;14,5719694;15,6952065;15,0624449;15,0830457;15,1596736;14,7444352;16,2762351;15,4458131;14,7156303;15,8787245;15,3310343;15,5784672;15,0737321;15,677368;15,1821191;15,2255472;16,2668638;14,922367;16,0339763;14,6362158;15,0948694;15,8415465;15,9498262;16,2591791;13,6415594;15,7103566;15,0909889;14,5721903;14,8410058;15,3154297;15,0151275;14,5577637;16,3144961;16,3444126;14,4664183;16,0470768;14,111887;13,85062;14,3122246;13,7827412;13,3796338;13,3687199;13,2345794;13,7768182;13,3057286;13,5619471;13,8278605;13,6589423;13,7226113;13,5257205;13,9651276;14,305196;14,442176;15,5552683;15,981919;16,3366066;16,4379653
