mesto2;Lat;Long
Sodrazica;45,762125;14,6362158
Straza;45,7768428;15,0948694
Sveta Ana;46,6471061;15,8415465
Sveti Andraz v Slov. goricah;46,5189747;15,9498262
Salovci;46,8533568;16,2591791
Sempeter - Vrtojba;45,9290095;13,6415594
Sentilj;46,6862839;15,7103566
Sentrupert;45,9769612;15,0909889
Skofljica;45,9859651;14,5721903
Smartno pri Litiji;46,0457437;14,8410058
Store;46,2205619;15,3154297
Tabor;46,2346755;15,0151275
Trzin;46,1298241;14,5577637
Turnisce;46,625456;16,3144961
Velika Polana;46,5731715;16,3444126
Vodice;46,1926971;14,4664183
Zavrc;46,3856393;16,0470768
Ziri;46,0513094;14,111887
Villach;46,60856;13,85062
Klagenfurt;46,6364598;14,3122246
Bad Kalinkirchheim;46,8168323;13,7827412
Grado;45,6996858;13,3796338
Aquilea;45,7681691;13,3687199
Udine;46,0710668;13,2345794
Trieste;45,6495264;13,7768182
Palmanova;45,909424;13,3057286
Novigrad;45,3156571;13,5619471
Motovun;45,3359506;13,8278605
Buje;45,4082114;13,6589423
Groznjan;45,3796024;13,7226113
Umag;45,4372062;13,5257205
Buzet;45,4075606;13,9651276
Opatija;45,3376197;14,305196
Reka;45,3270631;14,442176
Karlovac;45,4928973;15,5552683
Zagreb;45,8150108;15,981919
Varazdin;46,305746;16,3366066
Cakovec;46,3897383;16,4379653
